ID,Название товара,Цена товара,Количество товара
37173,"Орбита OT-APZ17 ЗУ для аккум 4 гнезда (18650, 220В) ",622.78,124
38898,Орбита OT-AVW50 HDMI сплиттер (1 вход HDMI - 2 выхода HDMI),267.96,2061
34707,Орбита OT-AVW51 переходник HDMI2AV (гнездо HDMI вход - гнезда 3*RCA),205.13,2379
38896,Орбита OT-AVW52 переходник AV2HDMI (гнездо HDMI выход - гнезда 3*RCA),335.41,2333
38895,Орбита OT-AVW53 переходник (штекер Lightning - гнездо HDMI/Lightning) 15 см,496.19,894
38890,Орбита OT-AVW54 переходник (штекер TYPE-C - гнездо HDMI) 15см,327.10,3886
43012,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 1м (v1.4),316.93,11
43013,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 3м (v1.4),470.32,0
43014,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 5м (v1.4),770.62,103
42330,"Орбита OT-CLT08 Черные часы настольные проекционные (будильник, температура, дата)",609.84,875
42329,"Орбита OT-CLT08 Белые часы настольные проекционные (будильник, температура, дата)",609.84,1
21540,Орбита OT-DVC17 пульт ТВ универсальный (LCD/LED Samsung),159.85,940
9006,Орбита OT-DVC18 пульт ТВ универсальный (LCD/LED Samsung),120.12,1815
27281,Орбита OT-DVC21 пульт ТВ универсальный (LCD/LED Philips),164.47,138
21535,Орбита OT-DVC24 пульт ТВ универсальный (LCD/LED Philips),133.06,1757
38477,Орбита OT-DVC27 пульт универсальный для кондиционеров,148.76,825
37527,"Орбита OT-DVC33/41 пульт универсальный (USB, гироскоп, голос)",510.97,54
37534,"Орбита OT-DVC36 пульт универсальный (USB, гироскоп, голос)",476.78,311
10588,"Орбита OT-GSM08 антенна GSM (806-2700Мгц, 7дБ)",479.56,86
10587,"Орбита OT-GSM09 антенна GSM (800-2700Мгц, 5дБ)",283.67,0
24201,"Орбита OT-GSM11 антенна GSM (700-2700Мгц, 5дБ)",464.77,0
36554,"Орбита OT-HOC18 Черный Звонок дистанц (220В, 200м)",666.20,2195
36555,"Орбита OT-HOC18 Белый Звонок дистанц (220В, 200м)",666.20,1875
36553,"Орбита OT-HOC19 Звонок дистанц (220В, 200м)",429.66,7413
42670,"Орбита OT-HOC20 Черный Звонок дистанц (220В, 200м)",607.07,2173
42669,"Орбита OT-HOC20 Белый Звонок дистанц (220В, 200м)",607.07,2268
42687,Орбита OT-HOD20 кронштейн-подставка (30*12.5см),221.76,2013
42671,"Орбита OT-HOC21 Звонок дистанц (220В, 200м)",544.24,3169
25018,Орбита OT-HOM09 термометр для аквариума на присоске,145.99,5700
15674,Орбита OT-HOM10 термометр цифровой,74.84,21063
29296,Орбита OT-HOM17(TA328) термометр гигрометр,300.30,1909
13057,Орбита OT-HOM22 Белый таймер-секундомер,118.27,5590
35060,Орбита OT-HOM22 Голубой таймер-секундомер,118.27,3571
35061,Орбита OT-HOM22 Зеленый таймер-секундомер ,118.27,4528
42706,Орбита OT-HOM26 термометр гигрометр цифровой,159.85,2696
42709,Орбита OT-HOM27 термометр цифровой для холодильника,319.70,979
36797,"Орбита OT-HOS01 Пульт ДУ для световых приборов (1 канал, 220В)",199.58,2808
36799,"Орбита OT-HOS02 Пульт ДУ для световых приборов (2 канала, 220В) ",236.54,2776
36801,"Орбита OT-HOS03 Пульт ДУ для световых приборов (3 канала, 220В) ",257.80,2840
36803,"Орбита OT-HOS04 Пульт ДУ для световых приборов (4 канала, 220В) ",289.21,2017
37642,"Орбита OT-HOS05 Радиоуправляемое реле с пультом (1 канал,12/24В)",526.68,1071
37646,Орбита OT-HOS06 Умный ИК-пульт (Wi-Fi),520.21,174
38568,"Орбита OT-HOS07 Умная розетка (1 гнездо,16А,Wi-Fi)",529.45,683
38593,"Орбита OT-HOS08 Умная розетка (1 гнездо,16А,ZigBee 3.0)",740.12,503
38594,"Орбита OT-HOS09 Умное реле (1 канал,10А, Wi-Fi)",306.77,2677
38570,"Орбита OT-HOS10 Умная лампочка (E27,9Вт, Wi-Fi)",406.56,1209
38578,"Орбита OT-HOS11 Умный сетевой фильтр 1.8м (4*гн,4*USB, Wi-Fi)",1 594.82,184
38567,"Орбита OT-HOS12 Умный выключатель (2кн, Wi-Fi, сенсор)",999.77,133
40243,"Орбита OT-HOS12 Умный выключатель (1кн, Wi-Fi, сенсор)",959.11,189
38580,"Орбита OT-HOS13 Умная гирлянда 10м (пульт ДУ, Wi-Fi)",1 215.98,0
40241,"Орбита OT-HOS13 Умная гирлянда 20м (пульт ДУ, Wi-Fi)",1 153.15,621
38579,"Орбита OT-HOS13 Умная гирлянда 5м (пульт ДУ, Wi-Fi)",975.74,0
40242,"Орбита OT-HOS14 Умная лампочка (E14,4Вт, Wi-Fi)",473.09,689
40239,"Орбита OT-HOS15 Умная розетка (1 гнездо,16А,Wi-Fi, 2*USB)",1 143.91,280
40058,"Орбита OT-HOS16 Умная лампочка (E27,10Вт, Wi-Fi,Bluetooth)",393.62,1957
35020,"Орбита OT-HOW05 весы портативные эл. 500гр точность 0,01гр",217.14,935
35030,Орбита OT-HOW07 весы-ложка кухонные 500гр точность 0.1гр,335.41,2479
35032,Орбита OT-HOW08 весы кухонные настольные 5кг точность 0.1гр,483.25,1487
35034,Орбита OT-HOW09 безмен для багажа 50 кг точность 10г,308.62,2365
16934,"Орбита OT-INL01 держатель ""Третья рука""",296.60,963
12847,"Орбита OT-INL60 держатель ""Третья рука""",369.60,317
42648,Орбита OT-INL82 лупа настольная,1 174.40,465
18565,"Орбита OT-INM02 штангенциркуль электронный (150мм, металл)",636.64,1382
18566,"Орбита OT-INM03 штангенциркуль электронный (100мм, металл)",748.44,384
21949,"Орбита OT-INM05 штангенциркуль электронный (150мм, пластик)",308.62,1295
29912,Орбита OT-INM16(MD812) влагомер цифровой,624.62,991
30202,Орбита OT-PCB13 Bluetooth адаптер (V5.0),92.40,2008
29932,Орбита OT-INM36 тестер для элементов питания,228.23,581
12185,Орбита OT-PCG07 Геймпад игровой (проводной) ,737.35,715
19501,Орбита OT-PCG11 Геймпад игровой (беспроводной),585.82,125
17742,Орбита OT-PCK03 WI-FI адаптер (300Mbps),196.81,658
28916,Орбита OT-PCK25 WI-FI адаптер (600Mbps),341.88,851
28918,Орбита OT-PCK26 WI-FI адаптер (600Mbps),337.26,1316
28919,Орбита OT-PCK28(WD403) WI-FI адаптер (600Mbps),471.24,60
35168,"Орбита OT-PCM54 коврик для мышки RGB (Черный,30*80 см)",766.00,946
38840,Орбита OT-PCM67 Черная клавиатура + мышь беспроводные (Bluetooth),1 097.71,2034
38841,Орбита OT-PCM67 Белая клавиатура + мышь беспроводные (Bluetooth),1 097.71,1711
40331,"Орбита OT-PCR16 Черный картридер OTG (TF, SD, microUSB, Type-C)",143.22,377
12581,"Орбита OT-RCK01 аккумулятор для рации BL-5/TH-F8/UV-5R (7.4,1800мА)",355.74,1000
38684,Орбита OT-RCK06 антенна к рации складная (144/430MHz),306.77,0
37677,Орбита OT-SMA29 переходник OTG (штекер USB 3.0 - гнездо TYPE-C),78.54,0
32207,Орбита OT-SMH09 трипод (106см),499.88,1076
37848,"Орбита OT-SMH17 палка для селфи, трипод (185-680мм, пульт Bluetooth)",242.09,1443
37851,"Орбита OT-SMH18 палка для селфи, трипод (194-798мм, пульт Bluetooth, LED)",733.66,446
37860,"Орбита OT-SMH20 палка для селфи, трипод (194-1045мм, пульт Bluetooth, LED)",426.89,1790
37861,"Орбита OT-SMH21 палка для селфи, трипод (194-1010мм, пульт Bluetooth)",291.06,2439
33647,Орбита OT-SPF10 активная напольная акустика,924.00,774
37865,"Орбита OT-SMH22 палка для селфи, трипод (198-740мм, пульт Bluetooth, LED)",474.01,798
37879,"Орбита OT-TYT03 Черный калькулятор-планшет графический (6.5"")",810.35,49
10531,Орбита OT-VNP06 металлодетектор ручной,679.14,2113
7111,Орбита OT-VNP11 муляж видеокамеры,222.68,2192
10216,Орбита OT-VNP12 муляж видеокамеры,380.69,1356
31645,Орбита OT-VNP18 металлодетектор ручной,1 056.13,1258
31646,Орбита OT-VNP19 металлодетектор ручной,750.29,2378
32717,Орбита OT-VNP20 Черный муляж видеокамеры МЯТАЯ УПАКОВКА,474.01,630
32716,Орбита OT-VNP20 Серебро муляж видеокамеры,474.01,1470
32721,Орбита OT-VNP21 Белый муляж видеокамеры ,431.51,1460
32719,Орбита OT-VNP22 Черный муляж видеокамеры,159.85,1359
32718,Орбита OT-VNP22 Белый муляж видеокамеры,159.85,354
38316,"Орбита OT-VNP27 POE сплиттер пассивный (12В, 2А)",267.96,4179
7360,"Орбита OT-VNP28 POE сплиттер пассивный (12В, 2А)",140.45,193
37896,Орбита OT-VNS07 дубликатор домофонных ключей,464.77,2289
37542,Орбита OT-VNW08 видеошнур (RJ-45+DC 5.5*2.5мм) 10м,285.52,0
37543,Орбита OT-VNW08 видеошнур (RJ-45+DC 5.5*2.5мм) 20м,441.67,0
37541,Орбита OT-VNW08 видеошнур (RJ-45+DC 5.5*2.5мм) 5м,241.16,472
37546,Орбита OT-VNW09 удлинитель для камеры (штекер-гнездо 5.5*2.5мм) 10м,147.84,0
37544,Орбита OT-VNW09 удлинитель для камеры (штекер-гнездо 5.5*2.5мм) 3м,77.62,0
37545,Орбита OT-VNW09 удлинитель для камеры (штекер-гнездо 5.5*2.5мм) 5м,94.25,0
32070,Орбита OT-PCG02 Золотой геймпад игровой (Bluetooth) ,528.53,1001
39827,Орбита OT-PCG13 Черный геймпад игровой (проводной),644.03,1164
39826,Орбита OT-PCG13 Синий геймпад игровой (проводной),644.03,506
39825,Орбита OT-PCG13 Красный геймпад игровой (проводной),644.03,420
39824,Орбита OT-PCG13 Белый геймпад игровой (проводной),644.03,330
39840,Орбита OT-PCG17 Черный геймпад игровой (проводной) ,1 333.33,414
39841,Орбита OT-PCG17 Белый геймпад игровой (проводной),1 333.33,486
12183,Орбита OT-PCG02 Черный геймпад игровой (Bluetooth) ,516.52,1556
32074,Орбита OT-PCG02 Синий геймпад игровой (Bluetooth) ,516.52,921
32071,Орбита OT-PCG02 Красный геймпад игровой (Bluetooth),516.52,545
32073,Орбита OT-PCG02 Серебро геймпад игровой (Bluetooth),528.53,1078
32069,Орбита OT-PCG02 Белый геймпад игровой (Bluetooth),516.52,899
36963,"Патриот PT-FLB01 фонарь велосипедный (1L, аккум)",485.10,121
36965,"Патриот PT-FLB02 фонарь велосипедный (2L, аккум)",517.44,0
29176,Патриот PT-TRS01 набор для выживания ,427.81,1607
29177,Патриот PT-TRS02 набор для выживания,882.42,498
29178,Патриот PT-TRS03 набор для выживания,679.14,346
31949,Патриот PT-TRS04 набор для выживания ,1 108.80,620
31956,Патриот PT-TRS09 набор для выживания ,1 030.26,404
29644,SANDA 771 часы наручные ,432.43,13
18640,Skmei 0931 часы наручные ,691.15,33
18770,Skmei 1025-1 часы наручные ,521.14,3
18638,Skmei 1213 часы наручные ,541.46,248
18631,Skmei 1219 часы наручные ,541.46,31
18642,Skmei 1243 часы наручные ,541.46,26
24883,Skmei 1370 Золото часы наручные ,795.56,54
38900,Skmei 1756 Синие часы наручные ,656.96,0
38901,Skmei 1756 Черные часы наручные ,665.28,0
28696,Sonoff DW1 Беспроводной датчик размыкания ,276.28,37
8938,TDS TS-CAA02 активная антенна FM авто (14dB),170.02,651
18033,"TDS TS-CAA37 сканер OBD (OBD2, V1.5, Bluetooth)",288.29,2921
18038,"TDS TS-CAA38 сканер OBD (OBD2, V1.5, Bluetooth)",344.65,2859
18035,"TDS TS-CAA39 сканер OBD (OBD2, V2.1, Bluetooth)",300.30,1804
18037,"TDS TS-CAA40 сканер OBD (OBD2, V2.1, Bluetooth)",313.24,1429
37912,"TDS TS-CAA48 антенна GPS+ГЛОНАСС авто (SMA, 28дБ, 3м)",197.74,660
42834,TDS TS-CAA68 автоподсветка (15LED x4),394.55,2001
43545,"TDS TS-CAD01 Предохранитель для автоакустики (8AGU,12V,60A)",81.31,0
34377,TDS TS-CAF12 модулятор RGB (Bluetooth),403.79,462
39288,TDS TS-CAF15 модулятор RGB (Bluetooth),300.30,418
39292,TDS TS-CAF17 модулятор RGB (Bluetooth),289.21,0
7021,"TDS TS-CAS02 пульт универ. для ворот,шлагб. металл (433 МГц, 27А)",216.22,529
37648,"TDS TS-CAS06 пульт универ. для ворот,шлагб. (433 МГц, 27А)",199.58,502
37469,TDS TS-CAU46 Синий Разветвитель авто (Врезной),277.20,0
37467,TDS TS-CAU46 Зеленый Разветвитель авто (Врезной),255.95,0
37468,TDS TS-CAU46 Красный Разветвитель авто (Врезной),255.95,0
37466,TDS TS-CAU46 Белый Разветвитель авто (Врезной),255.95,0
41801,TDS TS-CAU56 Синий Разветвитель авто (Врезной),375.14,0
41799,TDS TS-CAU56 Зеленый Разветвитель авто (Врезной),375.14,0
41800,TDS TS-CAU56 Красный Разветвитель авто (Врезной),375.14,0
37487,TDS TS-CAU52 Зеленый Разветвитель авто (Врезной),510.97,79
37488,TDS TS-CAU52 Синий Разветвитель авто (Врезной),510.97,66
37486,TDS TS-CAU52 Красный Разветвитель авто (Врезной),510.97,87
37185,"TDS TS-CAV14 Черная камера авто (600ТВЛ, 12В)",508.20,0
37187,"TDS TS-CAV14 Серебро камера авто (600ТВЛ, 12В)",508.20,156
37186,"TDS TS-CAV14 Белая камера авто (600ТВЛ, 12В)",561.79,86
37188,"TDS TS-CAV15 камера авто (600ТВЛ, 12В) ",364.98,57
37191,"TDS TS-CAV16 камера авто (600ТВЛ, 12В)",344.65,187
37192,"TDS TS-CAV17 камера авто (600ТВЛ, 12В) ",364.98,276
37193,"TDS TS-CAV18 камера авто (600ТВЛ, 12В)",462.00,55
37200,"TDS TS-CAV20 камера авто (600ТВЛ, 12В)",319.70,219
42051,"TDS TS-CAV23 камера авто 4 pin (500ТВЛ, 12В)",385.31,997
42053,"TDS TS-CAV24 камера авто 4 pin (600ТВЛ, 12В)",548.86,282
42054,"TDS TS-CAV25 камера авто 4 pin (500ТВЛ, 12В)",388.08,405
42055,"TDS TS-CAV26 камера авто 4 pin (500ТВЛ, 12В)",388.08,0
19772,"UltraFire 18650 (4000mA, 3,7В) аккумулятор с защитой (УПАКОВКА 2ШТ)",349.27,380
19773,"UltraFire 18650 (4600mA, 3,7В) аккумулятор с защитой (УПАКОВКА 2ШТ)",410.26,718
37716,"Baofeng ЗУ для рации, стакан (UV-5R, USB)",202.36,0
21502,Орбита OT-PCK23 пигтейл (SMA-female-TS9) (УПАКОВКА 10шт),922.15,14
21499,Орбита OT-PCK13 пигтейл (F-female-CRC9) (УПАКОВКА 10шт),898.13,555
21501,Орбита OT-PCK24 пигтейл (SMA-female угловой-CRC9) (УПАКОВКА 10шт),922.15,224
31641,"Орбита 16340 (1200mA, 3.7В) аккумулятор (УПАКОВКА 10ШТ)",569.18,405
21498,Орбита OT-PCK12 пигтейл (SMA-female-CRC9) (УПАКОВКА 10шт),884.27,75
21496,Орбита OT-PCK14 пигтейл (F-female-TS9-male) (УПАКОВКА 10шт),850.08,60
42224,"Огонек OG-LDL41 LED контроллер DC 5-24В (Bluetooth, RGB)",105.34,548
42229,"Огонек OG-LDL42 LED контроллер DC 5-24В (Bluetooth, RGB)",145.07,729
42234,"Огонек OG-LDL43 LED контроллер DC 5-24В (Bluetooth, RGB)",115.50,287
42238,"Огонек OG-LDL44 LED контроллер DC 5-24В (Bluetooth, RGB)",145.07,421
42227,Огонек Пульт ДУ для OG-LDL41,89.63,855
42233,Огонек Пульт ДУ для OG-LDL42,97.02,912
42237,Огонек Пульт ДУ для OG-LDL43,83.16,742
42242,Огонек Пульт ДУ для OG-LDL44,97.02,865
37718,"Baofeng ЗУ для рации, стакан (UV-5R, 220V) (УПАКОВКА 5ШТ)",1 244.63,200
26219,Орбита OT-ERB08 наушники - гарнитура (bluetooth),298.45,1636
35161,Орбита OT-SMH16 платформа для 3D съемки (180мм),218.99,299
31772,"NB F80 кронштейн настольный для LCD/LED (17-30"")",2 420.88,24
